seed,eta,variant,heldout_norm_mse,heldout_mse,train_task,train_nat,n_corrupt,n_test
0,0.0,soft,9.584817867644405e-07,6.411682420548459e-07,4.884538498117763e-07,1.1769619732149295e-06,0,480
0,0.0,soft-huber,1.247868644006231e-06,8.347511197825952e-07,1.2058072229592653e-07,1.717951789714789e-07,0,480
0,0.0,soft-welsch,1.2513814326432124e-06,8.371009698748821e-07,3.9331661128017004e-07,5.9056196732854e-07,0,480
0,0.0,hard,7.635549452911237e-07,5.107735887577292e-07,1.7692451592665748e-06,0.0,0,480
0,0.0,no-nat,0.46570842706961146,0.3115316927433014,7.547027891519065e-09,0.9447504878044128,0,480
0,0.1,soft,0.37945461168232025,0.25383293628692627,0.021588796749711037,0.004911167547106743,46,480
0,0.1,soft-huber,0.36401135937562373,0.24350230395793915,0.014474629424512386,0.0057949889451265335,46,480
0,0.1,soft-welsch,0.20425322124898065,0.13663345575332642,0.0064612217247486115,0.00898414384573698,46,480
0,0.1,hard,0.4064193846623213,0.27187079191207886,0.03987962380051613,0.0,46,480
0,0.1,no-nat,0.5231804380584971,0.3499771058559418,7.547027891519065e-09,0.9990500807762146,46,480
0,0.2,soft,0.6283586011410877,0.42033514380455017,0.03895752131938934,0.008521722629666328,95,480
0,0.2,soft-huber,0.6022058231257021,0.4028404653072357,0.02662023901939392,0.010021123103797436,95,480
0,0.2,soft-welsch,0.4209923464150685,0.28161925077438354,0.012994343414902687,0.014807167463004589,95,480
0,0.2,hard,0.6770782544665515,0.45292574167251587,0.07055393606424332,0.0,95,480
0,0.2,no-nat,0.5717984249453977,0.38249969482421875,7.547027891519065e-09,1.029715657234192,95,480
0,0.3,soft,0.74215110145473,0.49645566940307617,0.05445123836398125,0.011227886192500591,144,480
0,0.3,soft-huber,0.7006944503846395,0.4687235951423645,0.037515606731176376,0.013464410789310932,144,480
0,0.3,soft-welsch,0.5933833414595202,0.3969387412071228,0.017025785520672798,0.02128850854933262,144,480
0,0.3,hard,0.8247348118716462,0.5516993403434753,0.09603691101074219,0.0,144,480
0,0.3,no-nat,0.6210371028147971,0.4154374897480011,7.550556624380533e-09,1.0549559593200684,144,480
0,0.4,soft,1.0765588378697415,0.720154881477356,0.0685579925775528,0.013850756920874119,198,480
0,0.4,soft-huber,1.0189634193283492,0.6816269159317017,0.047208573669195175,0.01661643013358116,198,480
0,0.4,soft-welsch,0.8307133508973021,0.5556986331939697,0.023961976170539856,0.024734022095799446,198,480
0,0.4,hard,1.1838553339149973,0.7919299602508545,0.12099993973970413,0.0,198,480
0,0.4,no-nat,0.6874152631173763,0.4598405957221985,7.847265948157656e-09,1.1025664806365967,198,480
0,0.5,soft,1.2911783826322003,0.8637228012084961,0.081146739423275,0.016677379608154297,243,480
0,0.5,soft-huber,1.2287014602900337,0.821929395198822,0.05566202104091644,0.019873611629009247,243,480
0,0.5,soft-welsch,1.0654792454336532,0.7127432823181152,0.028477225452661514,0.028558366000652313,243,480
0,0.5,hard,1.4095680147582959,0.9429185390472412,0.1444622427225113,0.0,243,480
0,0.5,no-nat,0.7748176597722387,0.5183076858520508,7.847265059979236e-09,1.1230508089065552,243,480
1,0.0,soft,0.00013940501174693215,0.00010946807742584497,1.7099005162890535e-06,1.1947587381655467e-06,0,480
1,0.0,soft-huber,0.0001230867756613963,9.665414836490527e-05,5.785529992863303e-07,4.09299047987588e-07,0,480
1,0.0,soft-welsch,0.00012535182780910666,9.843278530752286e-05,5.138871301824111e-07,1.7763426285455353e-07,0,480
1,0.0,hard,4.751005115125419e-05,3.730736716534011e-05,2.2235499841372075e-07,0.0,0,480
1,0.0,no-nat,0.49185765909862383,0.38623225688934326,7.268605628496516e-08,0.9284542798995972,0,480
1,0.1,soft,0.38585386111065567,0.3029925525188446,0.023065077140927315,0.003895675064995885,44,480
1,0.1,soft-huber,0.35130572725290915,0.27586355805397034,0.016473373398184776,0.004955833312124014,44,480
1,0.1,soft-welsch,0.18706001604330355,0.14688926935195923,0.005839206278324127,0.009890807792544365,44,480
1,0.1,hard,0.45474590613392213,0.35709017515182495,0.037220653146505356,0.0,44,480
1,0.1,no-nat,0.5434122184755461,0.42671558260917664,7.290196180065323e-08,1.0084413290023804,44,480
1,0.2,soft,0.5607887193472404,0.44036051630973816,0.044657252728939056,0.007067393511533737,92,480
1,0.2,soft-huber,0.5242279995117783,0.4116511344909668,0.031927671283483505,0.00908652599900961,92,480
1,0.2,soft-welsch,0.3157564050247967,0.24794837832450867,0.00997275672852993,0.016743259504437447,92,480
1,0.2,hard,0.6385917962974096,0.501455545425415,0.07162824273109436,0.0,92,480
1,0.2,no-nat,0.5924349250330795,0.46521076560020447,1.1124259202688336e-07,1.1052064895629883,92,480
1,0.3,soft,0.8484528717331201,0.6662493944168091,0.06000980734825134,0.009459487162530422,132,480
1,0.3,soft-huber,0.8108487982399731,0.6367207169532776,0.042856521904468536,0.012116204015910625,132,480
1,0.3,soft-welsch,0.6071499271614587,0.4767657518386841,0.014791930094361305,0.021801963448524475,132,480
1,0.3,hard,0.971134805649526,0.7625856399536133,0.0968838483095169,0.0,132,480
1,0.3,no-nat,0.6536975199675976,0.513317346572876,2.2970073132455582e-07,1.1318284273147583,132,480
1,0.4,soft,1.1347061379299037,0.8910303711891174,0.0742076188325882,0.011927619576454163,184,480
1,0.4,soft-huber,1.0902156494471376,0.8560941219329834,0.05334300547838211,0.015201185829937458,184,480
1,0.4,soft-welsch,0.8504093258837024,0.6677857041358948,0.018005458638072014,0.02983747608959675,184,480
1,0.4,hard,1.277136835048485,1.0028743743896484,0.1193113848567009,0.0,184,480
1,0.4,no-nat,0.705892908216151,0.5543038845062256,2.287915350507319e-07,1.2063325643539429,184,480
1,0.5,soft,1.520718906383498,1.1941477060317993,0.08641643822193146,0.013633941300213337,250,480
1,0.5,soft-huber,1.4493611218896365,1.1381138563156128,0.062454722821712494,0.017433153465390205,250,480
1,0.5,soft-welsch,1.0685603017501288,0.8390892148017883,0.023923752829432487,0.03492366895079613,250,480
1,0.5,hard,1.6979293997484808,1.333302617073059,0.13791760802268982,0.0,250,480
1,0.5,no-nat,0.7960719714013844,0.6251171827316284,2.2339516192459996e-07,1.280907154083252,250,480
2,0.0,soft,6.046378938101244e-07,4.809830898011569e-07,1.2408183920342708e-06,2.0635748114727903e-06,0,480
2,0.0,soft-huber,4.165931638970505e-07,3.3139548349936376e-07,1.3813355508318637e-06,6.768469802409527e-07,0,480
2,0.0,soft-welsch,2.923212864874904e-07,2.3253851111348922e-07,6.475534064520616e-08,9.346339169269413e-08,0,480
2,0.0,hard,6.29608892734583e-08,5.0084725700116906e-08,3.9235420246086505e-08,0.0,0,480
2,0.0,no-nat,0.42352285862707895,0.3369079828262329,1.639042466194951e-07,0.9703658819198608,0,480
2,0.1,soft,0.16276065013454494,0.12947438657283783,0.012193658389151096,0.0017599177081137896,40,480
2,0.1,soft-huber,0.1541503438570327,0.12262497842311859,0.009138253517448902,0.0022676808293908834,40,480
2,0.1,soft-welsch,0.16467591016670863,0.13099795579910278,0.0064447252079844475,0.0033828020095825195,40,480
2,0.1,hard,0.17702058481658198,0.1408180147409439,0.018613241612911224,0.0,40,480
2,0.1,no-nat,0.4620495846763912,0.3675555884838104,1.6386086088004959e-07,1.0206493139266968,40,480
2,0.2,soft,0.4196323210250426,0.3338131010532379,0.02415798045694828,0.003470703726634383,86,480
2,0.2,soft-huber,0.39666774538387584,0.3155450224876404,0.017949135974049568,0.004518906120210886,86,480
2,0.2,soft-welsch,0.3782806121848789,0.30091825127601624,0.012423706240952015,0.0071653928607702255,86,480
2,0.2,hard,0.45845625002482,0.364697128534317,0.03697039186954498,0.0,86,480
2,0.2,no-nat,0.5254172024349587,0.4179638624191284,1.8715365968091646e-07,1.0664244890213013,86,480
2,0.3,soft,0.6786159011708215,0.539831817150116,0.0327322818338871,0.0048651001416146755,135,480
2,0.3,soft-huber,0.6347312424402067,0.5049220323562622,0.024205783382058144,0.006286845076829195,135,480
2,0.3,soft-welsch,0.5234831916052773,0.4164253771305084,0.01466436218470335,0.011282666586339474,135,480
2,0.3,hard,0.7542227133187008,0.5999762415885925,0.050643231719732285,0.0,135,480
2,0.3,no-nat,0.5876100574407548,0.46743762493133545,1.866010421736064e-07,1.101995825767517,135,480
2,0.4,soft,0.809881674038234,0.644252359867096,0.043553996831178665,0.006803079973906279,183,480
2,0.4,soft-huber,0.7571794574579434,0.6023283004760742,0.031762365251779556,0.00876515731215477,183,480
2,0.4,soft-welsch,0.6245169093980196,0.4967966377735138,0.018385957926511765,0.015159523114562035,183,480
2,0.4,hard,0.9081581067246691,0.7224302291870117,0.06855921447277069,0.0,183,480
2,0.4,no-nat,0.6273275434267347,0.49903246760368347,4.25049506702635e-08,1.1156412363052368,183,480
2,0.5,soft,1.084184449703243,0.8624573349952698,0.059184059500694275,0.009683853946626186,234,480
2,0.5,soft-huber,1.0095787540613927,0.8031092882156372,0.04254141077399254,0.012337272986769676,234,480
2,0.5,soft-welsch,0.8315225295421531,0.661467432975769,0.02202589064836502,0.020682360976934433,234,480
2,0.5,hard,1.2225617388272034,0.9725350141525269,0.09526840597391129,0.0,234,480
2,0.5,no-nat,0.6726295826218582,0.5350697636604309,5.141951575637904e-08,1.1501550674438477,234,480
